PM25h,HUM,TEMP,CO,CO2,PM10p,NO,NO2,PM10h,PM25p
90,38.6,7,1.1,434,232,0.002,0.027,110,109
117,38.8,6.6,1.1,437,242,0.002,0.029,112,102
114,37.3,8,1.1,445,243,0.003,0.035,110,98
107,35.6,8.2,1.1,444,235,0.002,0.032,111,110
103,39.5,7.4,1.1,441,225,0.002,0.033,107,102
102,35.9,8.3,1.1,444,228,0.004,0.037,109,97
98,39.4,7.5,1.1,442,218,0.002,0.033,116,90
97,37.7,7.7,1.1,440,211,0.002,0.032,110,94
91,38.4,8.2,1.1,448,207,0.003,0.034,111,94
99,37.5,7.9,1.1,438,212,0.002,0.027,111,93
100,40.4,7,1.1,439,201,0.002,0.028,111,87
99,42.1,6.8,1.1,443,189,0.002,0.025,108,94
98,38.4,8,1.1,451,188,0.004,0.036,110,100
89,40,7.4,1,441,185,0.002,0.03,117,111
92,41.9,6.8,1.1,439,187,0.002,0.027,122,105
103,43.1,6.6,1.1,439,181,0.002,0.028,122,102
106,43.5,6.5,1.1,441,175,0.001,0.029,116,106
106,43.7,6.4,1,440,172,0.002,0.03,111,111
105,44.2,6.3,1,439,164,0.002,0.026,107,111
108,44.5,6.3,1,441,166,0.001,0.029,110,102
113,44.6,6.3,1.1,444,167,0.001,0.035,111,103
103,44.4,6.4,1.1,442,158,0.001,0.035,113,101
105,44,6.5,1.1,445,157,0.001,0.036,112,97
105,43.6,6.6,1,441,160,0.001,0.032,114,93
61,43.6,6.1,0.9,439,84,0.002,0.01,84,61
71,43.6,6.2,0.9,438,102,0.001,0.03,102,65
89,44,6.1,1,438,114,0.002,0.033,108,60
98,44.4,6,0.9,440,115,0.001,0.029,112,58
99,44.6,6,0.9,438,125,0.002,0.028,109,62
103,44.5,6.1,0.9,440,133,0.002,0.026,108,64
101,44.2,6.2,0.9,442,136,0.002,0.029,99,69
104,43.6,6.4,0.9,439,148,0.001,0.024,107,75
104,44.1,6.2,0.9,440,147,0.001,0.023,108,71
108,44.6,6,0.9,438,151,0.002,0.023,107,61
107,44.7,6,0.9,438,150,0.001,0.024,101,69
106,44.4,6.2,0.9,441,156,0.001,0.024,102,68
98,43.7,6.3,1,441,148,0.001,0.029,110,65
